Metric,Value,Test_Folder,Model_Format,Model_Name
Target Class Score,34.02%,test_2_2 seconds_15fps,onnx,yolov8n-seg
Processing FPS,14.78 fps,test_2_2 seconds_15fps,onnx,yolov8n-seg
Total time,6.21 sec,test_2_2 seconds_15fps,onnx,yolo11m-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolo11m-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolo11m-seg
Average Frame Processing Time,0.2070 sec,test_2_2 seconds_15fps,onnx,yolo11m-seg
Target Class Score,35.69%,test_2_2 seconds_15fps,onnx,yolo11m-seg
Processing FPS,4.83 fps,test_2_2 seconds_15fps,onnx,yolo11m-seg
Total time,5.14 sec,test_2_2 seconds_15fps,onnx,yolov8m-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolov8m-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolov8m-seg
Average Frame Processing Time,0.1713 sec,test_2_2 seconds_15fps,onnx,yolov8m-seg
Target Class Score,37.73%,test_2_2 seconds_15fps,onnx,yolov8m-seg
Processing FPS,5.84 fps,test_2_2 seconds_15fps,onnx,yolov8m-seg
Total time,3.93 sec,test_2_2 seconds_15fps,onnx,yolo11s-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolo11s-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolo11s-seg
Average Frame Processing Time,0.1310 sec,test_2_2 seconds_15fps,onnx,yolo11s-seg
Target Class Score,37.70%,test_2_2 seconds_15fps,onnx,yolo11s-seg
Processing FPS,7.64 fps,test_2_2 seconds_15fps,onnx,yolo11s-seg
Total time,4.67 sec,test_2_2 seconds_15fps,onnx,yolov8s-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolov8s-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolov8s-seg
Average Frame Processing Time,0.1556 sec,test_2_2 seconds_15fps,onnx,yolov8s-seg
Target Class Score,41.58%,test_2_2 seconds_15fps,onnx,yolov8s-seg
Processing FPS,6.43 fps,test_2_2 seconds_15fps,onnx,yolov8s-seg
Total time,2.28 sec,test_2_2 seconds_15fps,onnx,yolo11n-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolo11n-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolo11n-seg
Average Frame Processing Time,0.0761 sec,test_2_2 seconds_15fps,onnx,yolo11n-seg
Target Class Score,33.93%,test_2_2 seconds_15fps,onnx,yolo11n-seg
Processing FPS,13.14 fps,test_2_2 seconds_15fps,onnx,yolo11n-seg
Total time,0.43 sec,test_3_1 seconds_15fps,Pt,yolov8n-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolov8n-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolov8n-seg
Average Frame Processing Time,0.0283 sec,test_3_1 seconds_15fps,Pt,yolov8n-seg
Target Class Score,36.29%,test_3_1 seconds_15fps,Pt,yolov8n-seg
Processing FPS,35.29 fps,test_3_1 seconds_15fps,Pt,yolov8n-seg
Total time,0.95 sec,test_3_1 seconds_15fps,Pt,yolo11m-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolo11m-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolo11m-seg
Average Frame Processing Time,0.0633 sec,test_3_1 seconds_15fps,Pt,yolo11m-seg
Target Class Score,50.21%,test_3_1 seconds_15fps,Pt,yolo11m-seg
Processing FPS,15.80 fps,test_3_1 seconds_15fps,Pt,yolo11m-seg
Total time,0.95 sec,test_3_1 seconds_15fps,Pt,yolov8m-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolov8m-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolov8m-seg
Average Frame Processing Time,0.0632 sec,test_3_1 seconds_15fps,Pt,yolov8m-seg
Target Class Score,49.98%,test_3_1 seconds_15fps,Pt,yolov8m-seg
Processing FPS,15.82 fps,test_3_1 seconds_15fps,Pt,yolov8m-seg
Total time,0.62 sec,test_3_1 seconds_15fps,Pt,yolo11s-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolo11s-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolo11s-seg
Average Frame Processing Time,0.0412 sec,test_3_1 seconds_15fps,Pt,yolo11s-seg
Target Class Score,46.37%,test_3_1 seconds_15fps,Pt,yolo11s-seg
Processing FPS,24.28 fps,test_3_1 seconds_15fps,Pt,yolo11s-seg
Total time,0.55 sec,test_3_1 seconds_15fps,Pt,yolov8s-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolov8s-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolov8s-seg
Average Frame Processing Time,0.0370 sec,test_3_1 seconds_15fps,Pt,yolov8s-seg
Target Class Score,47.53%,test_3_1 seconds_15fps,Pt,yolov8s-seg
Processing FPS,27.03 fps,test_3_1 seconds_15fps,Pt,yolov8s-seg
Total time,0.49 sec,test_3_1 seconds_15fps,Pt,yolo11n-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolo11n-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolo11n-seg
Average Frame Processing Time,0.0327 sec,test_3_1 seconds_15fps,Pt,yolo11n-seg
Target Class Score,37.72%,test_3_1 seconds_15fps,Pt,yolo11n-seg
Processing FPS,30.59 fps,test_3_1 seconds_15fps,Pt,yolo11n-seg
Total time,0.35 sec,test_3_1 seconds_15fps,TensorRT,yolov8n-seg
Video FPS,15 fps,test_3_1 seconds_15fps,TensorRT,yolov8n-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,TensorRT,yolov8n-seg
Average Frame Processing Time,0.0235 sec,test_3_1 seconds_15fps,TensorRT,yolov8n-seg
Target Class Score,36.54%,test_3_1 seconds_15fps,TensorRT,yolov8n-seg
Processing FPS,42.58 fps,test_3_1 seconds_15fps,TensorRT,yolov8n-seg
Total time,0.77 sec,test_3_1 seconds_15fps,TensorRT,yolo11m-seg
Video FPS,15 fps,test_3_1 seconds_15fps,TensorRT,yolo11m-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,TensorRT,yolo11m-seg
Average Frame Processing Time,0.0516 sec,test_3_1 seconds_15fps,TensorRT,yolo11m-seg
Target Class Score,52.43%,test_3_1 seconds_15fps,TensorRT,yolo11m-seg
Processing FPS,19.40 fps,test_3_1 seconds_15fps,TensorRT,yolo11m-seg
Total time,0.69 sec,test_3_1 seconds_15fps,TensorRT,yolov8m-seg
Video FPS,15 fps,test_3_1 seconds_15fps,TensorRT,yolov8m-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,TensorRT,yolov8m-seg
Average Frame Processing Time,0.0457 sec,test_3_1 seconds_15fps,TensorRT,yolov8m-seg
Target Class Score,51.82%,test_3_1 seconds_15fps,TensorRT,yolov8m-seg
Processing FPS,21.89 fps,test_3_1 seconds_15fps,TensorRT,yolov8m-seg
Total time,0.48 sec,test_3_1 seconds_15fps,TensorRT,yolo11s-seg
Video FPS,15 fps,test_3_1 seconds_15fps,TensorRT,yolo11s-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,TensorRT,yolo11s-seg
Average Frame Processing Time,0.0319 sec,test_3_1 seconds_15fps,TensorRT,yolo11s-seg
Target Class Score,47.18%,test_3_1 seconds_15fps,TensorRT,yolo11s-seg
Processing FPS,31.39 fps,test_3_1 seconds_15fps,TensorRT,yolo11s-seg
Total time,0.44 sec,test_3_1 seconds_15fps,TensorRT,yolov8s-seg
Video FPS,15 fps,test_3_1 seconds_15fps,TensorRT,yolov8s-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,TensorRT,yolov8s-seg
Average Frame Processing Time,0.0296 sec,test_3_1 seconds_15fps,TensorRT,yolov8s-seg
Target Class Score,47.31%,test_3_1 seconds_15fps,TensorRT,yolov8s-seg
Processing FPS,33.83 fps,test_3_1 seconds_15fps,TensorRT,yolov8s-seg
Total time,0.40 sec,test_3_1 seconds_15fps,TensorRT,yolo11n-seg
Video FPS,15 fps,test_3_1 seconds_15fps,TensorRT,yolo11n-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,TensorRT,yolo11n-seg
Average Frame Processing Time,0.0268 sec,test_3_1 seconds_15fps,TensorRT,yolo11n-seg
Target Class Score,39.23%,test_3_1 seconds_15fps,TensorRT,yolo11n-seg
Processing FPS,37.29 fps,test_3_1 seconds_15fps,TensorRT,yolo11n-seg
Total time,1.46 sec,test_3_1 seconds_15fps,onnx,yolov8n-seg
Video FPS,15 fps,test_3_1 seconds_15fps,onnx,yolov8n-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,onnx,yolov8n-seg
Average Frame Processing Time,0.0976 sec,test_3_1 seconds_15fps,onnx,yolov8n-seg
Target Class Score,36.46%,test_3_1 seconds_15fps,onnx,yolov8n-seg
Processing FPS,10.25 fps,test_3_1 seconds_15fps,onnx,yolov8n-seg
Total time,5.03 sec,test_3_1 seconds_15fps,onnx,yolo11m-seg
Video FPS,15 fps,test_3_1 seconds_15fps,onnx,yolo11m-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,onnx,yolo11m-seg
Average Frame Processing Time,0.3352 sec,test_3_1 seconds_15fps,onnx,yolo11m-seg
Target Class Score,52.61%,test_3_1 seconds_15fps,onnx,yolo11m-seg
Processing FPS,2.98 fps,test_3_1 seconds_15fps,onnx,yolo11m-seg
Total time,3.88 sec,test_3_1 seconds_15fps,onnx,yolov8m-seg
Video FPS,15 fps,test_3_1 seconds_15fps,onnx,yolov8m-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,onnx,yolov8m-seg
Average Frame Processing Time,0.2590 sec,test_3_1 seconds_15fps,onnx,yolov8m-seg
Target Class Score,51.93%,test_3_1 seconds_15fps,onnx,yolov8m-seg
Processing FPS,3.86 fps,test_3_1 seconds_15fps,onnx,yolov8m-seg
Total time,2.73 sec,test_3_1 seconds_15fps,onnx,yolo11s-seg
Video FPS,15 fps,test_3_1 seconds_15fps,onnx,yolo11s-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,onnx,yolo11s-seg
Average Frame Processing Time,0.1818 sec,test_3_1 seconds_15fps,onnx,yolo11s-seg
Target Class Score,47.21%,test_3_1 seconds_15fps,onnx,yolo11s-seg
Processing FPS,5.50 fps,test_3_1 seconds_15fps,onnx,yolo11s-seg
Total time,3.85 sec,test_3_1 seconds_15fps,onnx,yolov8s-seg
Video FPS,15 fps,test_3_1 seconds_15fps,onnx,yolov8s-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,onnx,yolov8s-seg
Average Frame Processing Time,0.2564 sec,test_3_1 seconds_15fps,onnx,yolov8s-seg
Target Class Score,47.34%,test_3_1 seconds_15fps,onnx,yolov8s-seg
Processing FPS,3.90 fps,test_3_1 seconds_15fps,onnx,yolov8s-seg
Total time,1.69 sec,test_3_1 seconds_15fps,onnx,yolo11n-seg
Video FPS,15 fps,test_3_1 seconds_15fps,onnx,yolo11n-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,onnx,yolo11n-seg
Average Frame Processing Time,0.1129 sec,test_3_1 seconds_15fps,onnx,yolo11n-seg
Target Class Score,39.08%,test_3_1 seconds_15fps,onnx,yolo11n-seg
Processing FPS,8.86 fps,test_3_1 seconds_15fps,onnx,yolo11n-seg
Total time,4.05 sec,test_4_10 seconds_15fps,Pt,yolov8n-seg
Video FPS,15 fps,test_4_10 seconds_15fps,Pt,yolov8n-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,Pt,yolov8n-seg
Average Frame Processing Time,0.0268 sec,test_4_10 seconds_15fps,Pt,yolov8n-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,Pt,yolov8n-seg
Processing FPS,37.26 fps,test_4_10 seconds_15fps,Pt,yolov8n-seg
Total time,7.69 sec,test_4_10 seconds_15fps,Pt,yolo11m-seg
Video FPS,15 fps,test_4_10 seconds_15fps,Pt,yolo11m-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,Pt,yolo11m-seg
Average Frame Processing Time,0.0509 sec,test_4_10 seconds_15fps,Pt,yolo11m-seg
Target Class Score,0.57%,test_4_10 seconds_15fps,Pt,yolo11m-seg
Processing FPS,19.64 fps,test_4_10 seconds_15fps,Pt,yolo11m-seg
Total time,7.32 sec,test_4_10 seconds_15fps,Pt,yolov8m-seg
Video FPS,15 fps,test_4_10 seconds_15fps,Pt,yolov8m-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,Pt,yolov8m-seg
Average Frame Processing Time,0.0485 sec,test_4_10 seconds_15fps,Pt,yolov8m-seg
Target Class Score,0.39%,test_4_10 seconds_15fps,Pt,yolov8m-seg
Processing FPS,20.62 fps,test_4_10 seconds_15fps,Pt,yolov8m-seg
Total time,4.87 sec,test_4_10 seconds_15fps,Pt,yolo11s-seg
Video FPS,15 fps,test_4_10 seconds_15fps,Pt,yolo11s-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,Pt,yolo11s-seg
Average Frame Processing Time,0.0323 sec,test_4_10 seconds_15fps,Pt,yolo11s-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,Pt,yolo11s-seg
Processing FPS,30.98 fps,test_4_10 seconds_15fps,Pt,yolo11s-seg
Total time,4.89 sec,test_4_10 seconds_15fps,Pt,yolov8s-seg
Video FPS,15 fps,test_4_10 seconds_15fps,Pt,yolov8s-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,Pt,yolov8s-seg
